x,y,z
169.44422751779504,96.28737559712619,a
102.14230303208693,369.97835565647847,b
58.56158965777482,354.56823380653304,a
63.23830067507117,337.88923782781956,b
70.085740399819,297.75969257083045,a
186.1451025322178,84.66805403951491,b
172.9010139323935,129.32669143915803,a
157.59605957787028,154.17403622658412,a
227.8183950828397,117.29394942880253,a
169.61695154969254,160.40847318454638,a
177.1842080883329,126.73563318151503,b
208.41267438379558,115.2029891435227,b
195.27685562035276,72.02921700535347,b
199.65948067388908,122.321115995909,a
